id;categoria;descripcion;ubicacion;fechaHora;estado;reportadoPorId
INC001;Robo;Ladron con cuchillo en tienda de barrio;Calle 8 #15-30, Kennedy;2026-07-05T10:18:15.112386;ACTIVO;CIV001
INC002;Incendio;Incendio en bodega de productos quimicos;Avenida 68 #90-20, Fontibon;2026-07-05T10:18:15.113400400;ATENDIDO;AUT001
INC003;Sospechoso;Hombre merodeando cerca de jardin infantil;Carrera 7 #45-12, Chapinero;2026-07-05T10:18:15.113400400;ACTIVO;CIV003
INC004;Tiroteo;Balacera en zona de bares y discotecas;Calle 85 #12-20, Zona Rosa;2026-07-05T10:18:15.113400400;ACTIVO;AUT001
INC005;Robo;Robo de celulares en estacion de Transmilenio;Avenida Caracas #60-30, Restrepo;2026-07-05T10:18:15.113400400;ATENDIDO;CIV002
INC006;Incendio;Incendio forestal en cerro;Cerro de Monserrate, Centro;2026-07-05T10:18:15.113400400;ACTIVO;AUT003
INC007;Sospechoso;Persona dejando paquete sospechoso en el aeropuerto;Aeropuerto El Dorado, Fontibon;2026-07-05T10:18:15.113400400;ACTIVO;AUT002
INC008;Tiroteo;Ataque con arma de fuego en centro comercial;Centro Comercial Unicentro, Suba;2026-07-05T10:18:15.113400400;ATENDIDO;AUT004
INC009;Robo;Hurto de motocicleta en vivienda;Calle 100 #20-30, Suba;2026-07-05T10:18:15.113400400;ACTIVO;CIV001
INC010;Incendio;Incendio en cocina de restaurante;Carrera 15 #80-10, Chapinero;2026-07-05T10:18:15.113400400;ACTIVO;AUT002
INC011;Robo;Robo de carro en parqueadero;Calle 45 #23-12, Kennedy;2026-07-05T10:18:15.114417;ACTIVO;POL-01
INC012;Incendio;Incendio en fabrica de muebles;Avenida 68 #90-20, Fontibon;2026-07-05T10:18:15.114417;ATENDIDO;POL-02
INC013;Sospechoso;Persona con arma blanca;Carrera 7 #45-12, Chapinero;2026-07-05T10:18:15.114417;ATENDIDO;POL-03
INC014;Tiroteo;Tiroteo en restaurante;Calle 85 #12-20, Zona Rosa;2026-07-05T10:18:15.114417;ACTIVO;POL-04
INC015;Robo;Robo en tienda de tecnologia;Calle 100 #20-30, Suba;2026-07-05T10:18:15.114417;ACTIVO;POL-05
INC016;Incendio;Incendio en taller mecanico;Calle 26 #50-10, Teusaquillo;2026-07-05T10:18:15.114417;ACTIVO;POL-06
INC017;Sospechoso;Hombre con camara oculta;Carrera 7 #45-12, Chapinero;2026-07-05T10:18:15.114417;ACTIVO;POL-07
INC018;Tiroteo;Tiroteo en centro comercial;Centro Comercial Mayorca, Medellin;2026-07-05T10:18:15.114417;ACTIVO;POL-08
INC019;Robo;Robo en tienda de barrio;Centro Comercial Unicentro, Suba;2026-07-05T10:18:15.114417;ACTIVO;BOM-01
INC020;Incendio;Incendio en bodega de papel;Avenida 68 #90-20, Fontibon;2026-07-05T10:18:15.114417;ATENDIDO;BOM-02
INC021;Robo;Robo de celulares en Transmilenio;Avenida Caracas #60-30, Restrepo;2026-07-05T10:18:15.114417;ACTIVO;BOM-03
INC022;Incendio;Incendio en cocina de restaurante;Carrera 15 #80-10, Chapinero;2026-07-05T10:18:15.114417;ACTIVO;1086134346
INC023;Sospechoso;Persona con mochila sospechosa;Carrera 7 #45-12, Chapinero;2026-07-05T10:18:15.114417;ACTIVO;1086134346
INC024;Tiroteo;Balacera en discoteca;Calle 85 #12-20, Zona Rosa;2026-07-05T10:18:15.114417;ACTIVO;1086134346
INC025;Robo;Robo en farmacia;Calle 45 #23-12, Kennedy;2026-07-05T10:18:15.114417;ATENDIDO;1086134346
13020D67;otro;zx;x,y;2026-07-05T10:18:15.114417;ATENDIDO;123
